playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
altroni01,22,16,550,75,7,46,128,604,11,0,29,97,15,0,9,1,5,27,0,230,83,52,0
anderbr01,NULL,NULL,6499,NULL,NULL,NULL,NULL,NULL,154,65,960,1661,74,59,338,67,315,761,1190,1834,NULL,1062,0
anderga01,NULL,NULL,8640,NULL,NULL,NULL,NULL,NULL,8,197,429,2529,13,104,522,36,80,1365,1224,2228,NULL,1084,0
ansonca01,0,0,10277,1,1,3,0,5,32,0,983,3418,27,0,581,142,276,2076,302,2523,0,1996,1
aparilu01,NULL,NULL,10230,NULL,NULL,NULL,NULL,NULL,27,184,736,2677,161,22,394,92,506,791,742,2601,NULL,1335,1
appieke01,79,12,83,137,0,2,34,1168,1,0,1,8,5,0,0,0,0,4,39,414,169,4,0
applilu01,NULL,NULL,8856,NULL,NULL,NULL,NULL,NULL,11,129,1302,2749,74,0,440,102,179,1116,528,2422,NULL,1319,0
archeji01,NULL,NULL,2646,NULL,NULL,NULL,NULL,NULL,19,0,124,660,93,0,106,34,36,296,241,847,NULL,246,0
ashburi01,NULL,NULL,8365,NULL,NULL,NULL,NULL,NULL,43,83,1198,2574,112,25,317,109,234,586,571,2189,NULL,1322,1
aurilri01,NULL,NULL,5721,NULL,NULL,NULL,NULL,NULL,24,140,450,1576,36,22,301,22,23,756,861,1652,NULL,745,0
ausmubr01,NULL,NULL,6279,NULL,NULL,NULL,NULL,NULL,69,201,634,1579,82,69,270,34,102,607,1034,1971,NULL,718,0
austiji01,NULL,NULL,5388,NULL,NULL,NULL,NULL,NULL,44,0,592,1328,278,0,174,76,244,390,363,1580,NULL,661,0
averiea01,NULL,NULL,6353,NULL,NULL,NULL,NULL,NULL,33,7,774,2019,55,0,401,128,70,1164,518,1668,NULL,1224,1
baergca01,NULL,NULL,5439,NULL,NULL,NULL,NULL,NULL,73,158,291,1583,26,41,279,17,59,774,580,1630,NULL,731,0
bagweje01,NULL,NULL,7797,NULL,NULL,NULL,NULL,NULL,128,221,1401,2314,3,155,488,32,202,1529,1558,2150,NULL,1517,1
bahnsst01,34,16,479,149,20,90,73,1127,1,4,19,56,43,0,8,2,0,19,225,575,146,22,0
bailebo01,NULL,NULL,6082,NULL,NULL,NULL,NULL,NULL,17,195,852,1564,40,67,234,43,85,773,1126,1931,NULL,772,0
bailobo01,0,0,2937,0,0,2,0,2,20,51,187,775,42,10,107,23,90,222,164,955,0,339,0
